face_recognizer;subject;quant_training_images;accuracy
LBPH;Jeffrey;5;20.0
LBPH;Jeffrey;5;30.0
LBPH;Jeffrey;5;40.0
LBPH;Jeffrey;5;10.0
LBPH;Jeffrey;5;50.0
LBPH;Jeffrey;20;60.0
LBPH;Jeffrey;20;70.0
LBPH;Jeffrey;20;80.0
LBPH;Jeffrey;20;70.0
LBPH;Jeffrey;20;70.0
LBPH;Seu Madruga;5;80.0
LBPH;Seu Madruga;5;90.0
LBPH;Seu Madruga;5;70.0
LBPH;Seu Madruga;5;70.0
LBPH;Seu Madruga;5;60.0
LBPH;Seu Madruga;20;80.0
LBPH;Seu Madruga;20;90.0
LBPH;Seu Madruga;20;60.0
LBPH;Seu Madruga;20;60.0
LBPH;Seu Madruga;20;80.0
EigenFace;Jeffrey;5;60.0
EigenFace;Jeffrey;5;50.0
EigenFace;Jeffrey;5;10.0
EigenFace;Jeffrey;5;20.0
EigenFace;Jeffrey;5;60.0
EigenFace;Jeffrey;20;70.0
EigenFace;Jeffrey;20;50.0
EigenFace;Jeffrey;20;60.0
EigenFace;Jeffrey;20;20.0
EigenFace;Jeffrey;20;90.0
EigenFace;Seu Madruga;5;70.0
EigenFace;Seu Madruga;5;60.0
EigenFace;Seu Madruga;5;80.0
EigenFace;Seu Madruga;5;80.0
EigenFace;Seu Madruga;5;20.0
EigenFace;Seu Madruga;20;50.0
EigenFace;Seu Madruga;20;50.0
EigenFace;Seu Madruga;20;50.0
EigenFace;Seu Madruga;20;60.0
EigenFace;Seu Madruga;20;70.0
FisherFace;Jeffrey;5;40.0
FisherFace;Jeffrey;5;20.0
FisherFace;Jeffrey;5;40.0
FisherFace;Jeffrey;5;40.0
FisherFace;Jeffrey;5;80.0
FisherFace;Jeffrey;20;70.0
FisherFace;Jeffrey;20;90.0
FisherFace;Jeffrey;20;80.0
FisherFace;Jeffrey;20;70.0
FisherFace;Jeffrey;20;70.0
FisherFace;Seu Madruga;5;60.0
FisherFace;Seu Madruga;5;40.0
FisherFace;Seu Madruga;5;80.0
FisherFace;Seu Madruga;5;80.0
FisherFace;Seu Madruga;5;50.0
FisherFace;Seu Madruga;20;60.0
FisherFace;Seu Madruga;20;60.0
FisherFace;Seu Madruga;20;80.0
FisherFace;Seu Madruga;20;70.0
FisherFace;Seu Madruga;20;80.0
